CidadeId,Nome,Sigla,IBGEMunicipio,Latitude,Longitude
1,"Alta Floresta D’Oeste",RO,15,-11.935540,-61.999824
2,"Alto Alegre dos Parecis",RO,379,-12.131777,-61.853077
3,"Alto Paraíso",RO,403,-9.716667,-63.317629
4,"Alvorada D’Oeste",RO,346,-11.344130,-62.277275
5,Ariquemes,RO,23,-9.908463,-63.033269
6,Buritis,RO,452,-10.209805,-63.829679
7,Cabixi,RO,31,-13.499763,-60.544314
8,Cacaulândia,RO,601,-10.338873,-62.903190
9,Cacoal,RO,49,-11.433865,-61.442944
10,"Campo Novo de Rondônia",RO,700,-10.568416,-63.624991
11,"Candeias do Jamari",RO,809,-8.785021,-63.700020
12,Castanheiras,RO,908,-11.426842,-61.949161
13,Cerejeiras,RO,56,-13.195033,-60.818426
14,Chupinguaia,RO,924,-12.556841,-60.901848
15,"Colorado do Oeste",RO,64,-13.130564,-60.555067
16,Corumbiara,RO,72,-12.997520,-60.948701
17,"Costa Marques",RO,80,-12.436014,-64.231654
18,Cujubim,RO,940,-9.378193,-62.587175
19,"Espigão D’Oeste",RO,98,-11.528555,-61.020173
20,"Governador Jorge Teixeira",RO,1005,-10.612072,-62.740458
21,Guajará-Mirim,RO,106,-10.773884,-65.323952
22,"Itapuã do Oeste",RO,1104,-9.191872,-63.182337
23,Jaru,RO,114,-10.435949,-62.476231
24,Ji-Paraná,RO,122,-10.882051,-61.945095
25,"Machadinho D’Oeste",RO,130,-9.425562,-61.999593
26,"Ministro Andreazza",RO,1203,-11.196238,-61.518922
27,"Mirante da Serra",RO,1302,-11.045609,-62.669427
28,"Monte Negro",RO,1401,-10.263098,-63.295559
29,"Nova Brasilândia D’Oeste",RO,148,-11.721325,-62.308230
30,"Nova Mamoré",RO,338,-10.411771,-65.329149
31,"Nova União",RO,1435,-10.915532,-62.555089
32,"Novo Horizonte do Oeste",RO,502,-11.709743,-61.994388
33,"Ouro Preto do Oeste",RO,155,-10.723574,-62.261055
34,Parecis,RO,1450,-12.179827,-61.597998
35,"Pimenta Bueno",RO,189,-11.677537,-61.183666
36,"Pimenteiras do Oeste",RO,1468,-13.476562,-61.044379
37,"Porto Velho",RO,205,-8.768892,-63.831446
38,"Presidente Médici",RO,254,-11.173205,-61.909439
39,"Primavera de Rondônia",RO,1476,-11.825707,-61.316546
40,"Rio Crespo",RO,262,-9.705537,-62.900010
41,"Rolim de Moura",RO,288,-11.722259,-61.785781
42,"Santa Luzia D’Oeste",RO,296,-11.908423,-61.773305
43,"São Felipe D’Oeste",RO,1484,-11.914389,-61.512508
44,"São Francisco do Guaporé",RO,1492,-12.063798,-63.570865
45,"São Miguel do Guaporé",RO,320,-11.699490,-62.720063
46,Seringueiras,RO,1500,-11.767117,-63.038761
47,Teixeirópolis,RO,1559,-10.932169,-62.255922
48,Theobroma,RO,1609,-10.248731,-62.345146
49,Urupá,RO,1708,-11.128545,-62.370632
50,"Vale do Anari",RO,1757,-9.851393,-62.176823
51,"Vale do Paraíso",RO,1807,-10.431053,-62.134390
52,Vilhena,RO,304,-12.741373,-60.138584
53,Acrelândia,AC,13,-10.073794,-67.052317
54,"Assis Brasil",AC,54,-10.942866,-69.563459
55,Brasiléia,AC,104,-11.016411,-68.747943
56,Bujari,AC,138,-9.820020,-67.951859
57,Capixaba,AC,179,-10.569768,-67.673508
58,"Cruzeiro do Sul",AC,203,-7.630690,-72.672531
59,Epitaciolândia,AC,252,-11.028240,-68.744868
60,Feijó,AC,302,-8.160248,-70.353984
61,Jordão,AC,328,-9.193358,-71.950875
62,"Mâncio Lima",AC,336,-7.593223,-72.916501
63,"Manoel Urbano",AC,344,-8.836318,-69.259945
64,"Marechal Thaumaturgo",AC,351,-8.953591,-72.790266
65,"Plácido de Castro",AC,385,-10.335133,-67.188260
66,"Porto Acre",AC,807,-9.600858,-67.540590
67,"Porto Walter",AC,393,-8.266666,-72.742334
68,"Rio Branco",AC,401,-9.978299,-67.810529
69,"Rodrigues Alves",AC,427,-7.733602,-72.647855
70,"Santa Rosa do Purus",AC,435,-9.443407,-70.486497
71,"Sena Madureira",AC,500,-9.065340,-68.655684
72,"Senador Guiomard",AC,450,-10.148174,-67.743172
73,Tarauacá,AC,609,-8.155669,-70.755501
74,Xapuri,AC,708,-10.652072,-68.506295
75,Alvarães,AM,29,-3.216584,-64.813535
76,Amaturá,AM,60,-3.366805,-68.209615
77,Anamã,AM,86,-3.576370,-61.405903
78,Anori,AM,102,-3.745386,-61.658955
79,Apuí,AM,144,-7.197870,-59.885666
80,"Atalaia do Norte",AM,201,-4.366157,-70.187989
81,Autazes,AM,300,-3.578664,-59.133567
82,Barcelos,AM,409,-0.972801,-62.925670
83,Barreirinha,AM,508,-2.798150,-57.067750
84,"Benjamin Constant",AM,607,-4.374989,-70.027348
85,Beruri,AM,631,-3.894513,-61.371571
86,"Boa Vista do Ramos",AM,680,-2.971727,-57.587707
87,"Boca do Acre",AM,706,-8.751243,-67.399578
88,Borba,AM,805,-4.390620,-59.594559
89,Caapiranga,AM,839,-3.330093,-61.211334
90,Canutama,AM,904,-6.529106,-64.394231
91,Carauari,AM,1001,-4.881666,-66.896635
92,Careiro,AM,1100,-3.822447,-60.363810
93,"Careiro da Várzea",AM,1159,-3.197397,-59.826314
94,Coari,AM,1209,-4.084219,-63.142184
95,Codajás,AM,1308,-3.843046,-62.063430
96,Eirunepé,AM,1407,-6.667353,-69.866290
97,Envira,AM,1506,-7.439818,-70.030413
98,"Fonte Boa",AM,1605,-2.512271,-66.096503
99,Guajará,AM,1654,-7.547774,-72.582431
100,Humaitá,AM,1704,-7.512225,-63.026698
101,Ipixuna,AM,1803,-7.050980,-71.694418
102,Iranduba,AM,1852,-3.281054,-60.193388
103,Itacoatiara,AM,1902,-3.140379,-58.440175
104,Itamarati,AM,1951,-6.437799,-68.247917
105,Itapiranga,AM,2009,-2.741843,-58.034546
106,Japurá,AM,2108,-1.880845,-66.996903
107,Juruá,AM,2207,-3.474890,-66.063042
108,Jutaí,AM,2306,-2.744646,-66.771328
109,Lábrea,AM,2405,-7.261947,-64.794773
110,Manacapuru,AM,2504,-3.298278,-60.620589
111,Manaquiri,AM,2553,-3.429080,-60.458881
112,Manaus,AM,2603,-3.134691,-60.023335
113,Manicoré,AM,2702,-5.813205,-61.299248
114,Maraã,AM,2801,-1.866437,-65.574284
115,Maués,AM,2900,-3.386428,-57.715034
116,Nhamundá,AM,3007,-2.188984,-56.716770
117,"Nova Olinda do Norte",AM,3106,-3.887593,-59.093074
118,"Novo Airão",AM,3205,-2.623432,-60.948811
119,"Novo Aripuanã",AM,3304,-5.122669,-60.377046
120,Parintins,AM,3403,-2.627053,-56.736292
121,Pauini,AM,3502,-7.714044,-67.002097
122,"Presidente Figueiredo",AM,3536,-2.058429,-60.025647
123,"Rio Preto da Eva",AM,3569,-2.693302,-59.704738
124,"Santa Isabel do Rio Negro",AM,3601,-0.416695,-65.020023
125,"Santo Antônio do Içá",AM,3700,-3.107486,-67.946485
126,"São Gabriel da Cachoeira",AM,3809,-0.136463,-67.083643
127,"São Paulo de Olivença",AM,3908,-3.466510,-68.944853
128,"São Sebastião do Uatumã",AM,3957,-2.570153,-57.870346
129,Silves,AM,4005,-2.836427,-58.214801
130,Tabatinga,AM,4062,-4.231884,-69.946244
131,Tapauá,AM,4104,-5.624224,-63.187095
132,Tefé,AM,4203,-3.348372,-64.708420
133,Tonantins,AM,4237,-2.861091,-67.776482
134,Uarini,AM,4260,-2.983609,-65.155346
135,Urucará,AM,4302,-2.536612,-57.759828
136,Urucurituba,AM,4401,-3.134633,-58.159641
137,"Alto Alegre",RR,50,2.993823,-61.314022
138,Amajari,RR,27,3.652118,-61.420590
139,"Boa Vista",RR,100,2.816682,-60.670533
140,Bonfim,RR,159,3.350289,-59.878007
141,Cantá,RR,175,2.607666,-60.602063
142,Caracaraí,RR,209,1.803871,-61.149177
143,Caroebe,RR,233,0.872675,-59.694810
144,Iracema,RR,282,2.168215,-61.052259
145,Mucajaí,RR,308,2.479772,-60.911519
146,Normandia,RR,407,3.882978,-59.635206
147,Pacaraima,RR,456,4.475259,-61.147306
148,Rorainópolis,RR,472,0.937195,-60.425060
149,"São João da Baliza",RR,506,0.947157,-59.906044
150,"São Luiz",RR,605,1.018112,-60.028267
151,Uiramutã,RR,704,4.585440,-60.195716
152,Abaetetuba,PA,107,-1.723470,-48.884404
153,"Abel Figueiredo",PA,131,-4.951391,-48.396762
154,Acará,PA,206,-1.963437,-48.200456
155,Afuá,PA,305,-0.159172,-50.391428
156,"Água Azul do Norte",PA,347,-6.804949,-50.485275
157,Alenquer,PA,404,-1.951398,-54.740862
158,Almeirim,PA,503,-1.527339,-52.576835
159,Altamira,PA,602,-3.205660,-52.214376
160,Anajás,PA,701,-0.984451,-49.945001
161,Ananindeua,PA,800,-1.368714,-48.372067
162,Anapu,PA,859,-3.476105,-51.201622
163,"Augusto Corrêa",PA,909,-1.022921,-46.641646
164,"Aurora do Pará",PA,958,-2.129376,-47.556175
165,Aveiro,PA,1006,-3.605595,-55.330734
166,Bagre,PA,1105,-1.889808,-50.221987
167,Baião,PA,1204,-2.791962,-49.672753
168,Bannach,PA,1253,-7.351072,-50.406047
169,Barcarena,PA,1303,-1.505767,-48.627073
170,Belém,PA,1402,-1.459845,-48.487826
171,Belterra,PA,1451,-2.649020,-54.942675
172,Benevides,PA,1501,-1.361438,-48.241836
173,"Bom Jesus do Tocantins",PA,1576,-5.047363,-48.599040
174,Bonito,PA,1600,-1.367474,-47.305892
175,Bragança,PA,1709,-1.053524,-46.765754
176,"Brasil Novo",PA,1725,-3.297804,-52.543441
177,"Brejo Grande do Araguaia",PA,1758,-5.707296,-48.405760
178,"Breu Branco",PA,1782,-3.778135,-49.569880
179,Breves,PA,1808,-1.690737,-50.480895
180,Bujaru,PA,1907,-1.513991,-48.035875
181,"Cachoeira do Arari",PA,2004,-1.008786,-48.960668
182,"Cachoeira do Piriá",PA,1956,-1.752897,-46.547391
183,Cametá,PA,2103,-2.246838,-49.497830
184,"Canaã dos Carajás",PA,2152,-6.532197,-49.848958
185,Capanema,PA,2202,-1.192442,-47.175126
186,"Capitão Poço",PA,2301,-1.746187,-47.062825
187,Castanhal,PA,2400,-1.295757,-47.926643
188,Chaves,PA,2509,-0.162437,-49.989319
189,Colares,PA,2608,-0.932091,-48.288728
190,"Conceição do Araguaia",PA,2707,-8.264864,-49.264501
191,"Concórdia do Pará",PA,2756,-1.984521,-47.949887
192,"Cumaru do Norte",PA,2764,-7.811107,-50.771578
193,Curionópolis,PA,2772,-6.096820,-49.602214
194,Curralinho,PA,2806,-1.809423,-49.791523
195,Curuá,PA,2855,-1.889929,-55.119679
196,Curuçá,PA,2905,-0.732496,-47.851265
197,"Dom Eliseu",PA,2939,-4.290778,-47.555915
198,"Eldorado do Carajás",PA,2954,-6.103525,-49.373952
199,Faro,PA,3002,-2.172975,-56.745753
200,"Floresta do Araguaia",PA,3044,-7.558701,-49.697578
201,"Garrafão do Norte",PA,3077,-1.931697,-47.045046
202,"Goianésia do Pará",PA,3093,-3.842468,-49.101045
203,Gurupá,PA,3101,-1.404918,-51.643696
204,Igarapé-Açu,PA,3200,-1.124322,-47.622375
205,Igarapé-Miri,PA,3309,-1.983116,-48.962299
